# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  94800    4.99e-01  4.80e-01    1.17e-03  1.09e-03    5.24e-02  5.04e-02    9.0e-05
  94900    5.23e-01  5.34e-01    3.71e-03  3.36e-03    5.47e-02  5.59e-02    9.0e-05
  95000    5.08e-01  4.94e-01    1.70e-03  1.65e-03    5.33e-02  5.18e-02    9.0e-05
  95100    5.10e-01  5.03e-01    2.52e-03  2.41e-03    5.34e-02  5.27e-02    9.0e-05
  95200    5.02e-01  4.89e-01    6.96e-04  2.20e-04    5.27e-02  5.13e-02    9.0e-05
  95300    4.97e-01  5.12e-01    5.55e-04  4.05e-04    5.22e-02  5.38e-02    9.0e-05
  95400    5.21e-01  4.58e-01    4.22e-04  5.57e-04    5.47e-02  4.81e-02    9.0e-05
  95500    5.12e-01  5.17e-01    1.48e-03  1.82e-03    5.38e-02  5.42e-02    9.0e-05
  95600    5.09e-01  4.89e-01    2.04e-03  1.42e-03    5.33e-02  5.13e-02    9.0e-05
  95700    5.01e-01  4.49e-01    4.83e-03  4.46e-03    5.22e-02  4.67e-02    9.0e-05
  95800    5.35e-01  5.04e-01    1.63e-03  1.44e-03    5.61e-02  5.29e-02    9.0e-05
  95900    4.94e-01  4.69e-01    4.44e-04  5.82e-04    5.18e-02  4.93e-02    9.0e-05
  96000    4.82e-01  4.31e-01    9.23e-04  2.18e-04    5.18e-02  4.64e-02    8.5e-05
  96100    4.84e-01  4.44e-01    4.22e-04  3.78e-04    5.21e-02  4.78e-02    8.5e-05
  96200    4.77e-01  5.02e-01    2.06e-03  1.61e-03    5.13e-02  5.41e-02    8.5e-05
  96300    4.81e-01  4.85e-01    3.20e-04  4.62e-04    5.18e-02  5.23e-02    8.5e-05
  96400    4.86e-01  5.07e-01    3.30e-03  3.04e-03    5.22e-02  5.45e-02    8.5e-05
  96500    4.79e-01  4.61e-01    2.04e-03  1.41e-03    5.15e-02  4.96e-02    8.5e-05
  96600    5.02e-01  4.72e-01    2.41e-03  1.93e-03    5.40e-02  5.08e-02    8.5e-05
  96700    4.87e-01  4.93e-01    5.45e-03  6.03e-03    5.19e-02  5.24e-02    8.5e-05
  96800    4.80e-01  4.60e-01    2.94e-03  3.20e-03    5.16e-02  4.93e-02    8.5e-05
  96900    4.79e-01  4.53e-01    9.29e-04  3.95e-04    5.15e-02  4.88e-02    8.5e-05
  97000    4.80e-01  4.80e-01    3.07e-04  4.98e-04    5.17e-02  5.17e-02    8.5e-05
  97100    4.79e-01  4.87e-01    6.52e-04  3.89e-04    5.16e-02  5.25e-02    8.5e-05
  97200    4.87e-01  4.59e-01    5.60e-04  2.67e-04    5.25e-02  4.94e-02    8.5e-05
  97300    5.02e-01  5.10e-01    4.04e-03  4.18e-03    5.37e-02  5.46e-02    8.5e-05
  97400    4.83e-01  4.75e-01    1.65e-03  1.72e-03    5.19e-02  5.11e-02    8.5e-05
  97500    4.81e-01  4.61e-01    2.11e-03  2.15e-03    5.17e-02  4.95e-02    8.5e-05
  97600    4.84e-01  4.93e-01    3.33e-03  2.52e-03    5.19e-02  5.30e-02    8.5e-05
  97700    4.79e-01  4.56e-01    1.76e-03  1.60e-03    5.15e-02  4.91e-02    8.5e-05
  97800    5.06e-01  4.80e-01    3.11e-03  3.69e-03    5.43e-02  5.14e-02    8.5e-05
  97900    5.14e-01  4.91e-01    2.61e-03  2.31e-03    5.53e-02  5.28e-02    8.5e-05
  98000    4.68e-01  4.41e-01    4.02e-04  9.65e-04    5.17e-02  4.87e-02    8.1e-05
  98100    4.74e-01  4.89e-01    6.60e-03  7.47e-03    5.14e-02  5.29e-02    8.1e-05
  98200    4.87e-01  4.81e-01    1.49e-03  2.00e-03    5.37e-02  5.31e-02    8.1e-05
  98300    4.75e-01  4.22e-01    2.62e-03  2.32e-03    5.23e-02  4.64e-02    8.1e-05
  98400    4.71e-01  4.75e-01    5.11e-04  4.56e-04    5.21e-02  5.25e-02    8.1e-05
  98500    4.71e-01  4.73e-01    3.26e-03  3.68e-03    5.18e-02  5.20e-02    8.1e-05
  98600    4.84e-01  4.55e-01    2.74e-03  2.05e-03    5.33e-02  5.02e-02    8.1e-05
  98700    4.84e-01  5.02e-01    3.23e-03  3.47e-03    5.33e-02  5.52e-02    8.1e-05
  98800    4.69e-01  4.75e-01    9.83e-04  1.39e-03    5.18e-02  5.25e-02    8.1e-05
  98900    4.65e-01  4.35e-01    2.99e-03  3.15e-03    5.12e-02  4.79e-02    8.1e-05
  99000    4.72e-01  4.47e-01    1.44e-03  1.03e-03    5.21e-02  4.93e-02    8.1e-05
  99100    4.70e-01  4.79e-01    6.98e-04  3.40e-06    5.19e-02  5.29e-02    8.1e-05
  99200    4.87e-01  4.84e-01    8.41e-04  3.45e-04    5.38e-02  5.35e-02    8.1e-05
  99300    4.78e-01  4.28e-01    4.47e-04  6.80e-04    5.29e-02  4.73e-02    8.1e-05
  99400    5.08e-01  4.57e-01    2.77e-03  2.20e-03    5.60e-02  5.03e-02    8.1e-05
  99500    4.75e-01  4.79e-01    8.98e-04  2.45e-04    5.25e-02  5.29e-02    8.1e-05
  99600    4.74e-01  4.53e-01    1.72e-03  1.81e-03    5.22e-02  4.99e-02    8.1e-05
  99700    5.04e-01  5.26e-01    4.77e-03  4.40e-03    5.52e-02  5.78e-02    8.1e-05
  99800    4.65e-01  4.46e-01    2.43e-03  2.84e-03    5.12e-02  4.91e-02    8.1e-05
  99900    4.91e-01  4.92e-01    2.40e-03  2.47e-03    5.41e-02  5.43e-02    8.1e-05
 100000    4.58e-01  4.38e-01    3.61e-03  3.85e-03    5.16e-02  4.92e-02    7.7e-05
 100100    4.76e-01  4.85e-01    1.20e-03  9.68e-04    5.39e-02  5.49e-02    7.7e-05
 100200    4.58e-01  4.70e-01    1.77e-03  1.53e-03    5.18e-02  5.31e-02    7.7e-05
 100300    4.64e-01  4.86e-01    3.78e-03  3.76e-03    5.23e-02  5.47e-02    7.7e-05
 100400    4.58e-01  4.24e-01    3.25e-03  2.99e-03    5.16e-02  4.78e-02    7.7e-05
 100500    4.55e-01  4.56e-01    2.53e-03  1.89e-03    5.14e-02  5.15e-02    7.7e-05
 100600    4.52e-01  4.28e-01    1.62e-03  1.79e-03    5.11e-02  4.84e-02    7.7e-05
 100700    4.57e-01  4.61e-01    4.17e-03  4.29e-03    5.14e-02  5.18e-02    7.7e-05
 100800    4.91e-01  4.80e-01    2.50e-03  1.83e-03    5.55e-02  5.43e-02    7.7e-05
 100900    4.67e-01  4.40e-01    1.37e-03  9.19e-04    5.29e-02  4.99e-02    7.7e-05
 101000    4.78e-01  4.42e-01    3.38e-04  1.36e-04    5.42e-02  5.01e-02    7.7e-05
 101100    4.58e-01  4.29e-01    3.55e-03  2.82e-03    5.16e-02  4.84e-02    7.7e-05
 101200    4.59e-01  4.47e-01    1.78e-03  1.73e-03    5.19e-02  5.06e-02    7.7e-05
 101300    4.72e-01  4.58e-01    1.28e-03  1.23e-03    5.34e-02  5.19e-02    7.7e-05
 101400    4.54e-01  4.13e-01    2.23e-03  2.01e-03    5.13e-02  4.67e-02    7.7e-05
 101500    4.51e-01  4.24e-01    2.50e-03  1.66e-03    5.10e-02  4.80e-02    7.7e-05
 101600    4.54e-01  4.45e-01    1.26e-03  1.15e-03    5.14e-02  5.04e-02    7.7e-05
 101700    4.52e-01  4.52e-01    6.03e-04  2.12e-04    5.12e-02  5.12e-02    7.7e-05
 101800    4.52e-01  4.77e-01    1.57e-03  1.66e-03    5.12e-02  5.40e-02    7.7e-05
 101900    4.71e-01  4.73e-01    4.97e-04  6.93e-04    5.34e-02  5.35e-02    7.7e-05
 102000    4.38e-01  4.09e-01    1.30e-03  1.57e-03    5.09e-02  4.75e-02    7.3e-05
 102100    4.48e-01  4.18e-01    5.07e-03  4.45e-03    5.15e-02  4.81e-02    7.3e-05
 102200    4.43e-01  4.12e-01    9.83e-04  8.98e-04    5.15e-02  4.79e-02    7.3e-05
 102300    4.43e-01  4.49e-01    3.72e-03  3.89e-03    5.12e-02  5.18e-02    7.3e-05
 102400    4.56e-01  4.25e-01    4.43e-03  4.81e-03    5.25e-02  4.88e-02    7.3e-05
 102500    4.44e-01  4.15e-01    3.73e-03  3.88e-03    5.13e-02  4.79e-02    7.3e-05
 102600    4.49e-01  4.20e-01    2.01e-03  2.03e-03    5.21e-02  4.87e-02    7.3e-05
 102700    4.62e-01  4.35e-01    2.29e-03  1.03e-03    5.35e-02  5.05e-02    7.3e-05
 102800    4.51e-01  4.27e-01    9.62e-04  1.39e-03    5.23e-02  4.95e-02    7.3e-05
 102900    4.38e-01  4.00e-01    1.04e-03  8.48e-04    5.09e-02  4.65e-02    7.3e-05
 103000    4.42e-01  4.77e-01    1.74e-03  1.70e-03    5.13e-02  5.54e-02    7.3e-05
 103100    4.39e-01  4.42e-01    1.39e-03  1.32e-03    5.10e-02  5.13e-02    7.3e-05
 103200    4.39e-01  4.28e-01    2.42e-03  1.63e-03    5.09e-02  4.97e-02    7.3e-05
 103300    4.40e-01  4.20e-01    1.74e-03  1.66e-03    5.11e-02  4.88e-02    7.3e-05
 103400    4.59e-01  4.41e-01    7.26e-03  7.95e-03    5.21e-02  4.98e-02    7.3e-05
 103500    4.53e-01  4.19e-01    1.66e-03  2.05e-03    5.26e-02  4.86e-02    7.3e-05
 103600    4.42e-01  4.13e-01    2.16e-03  1.21e-03    5.13e-02  4.80e-02    7.3e-05
 103700    4.47e-01  4.05e-01    1.08e-03  1.76e-04    5.20e-02  4.70e-02    7.3e-05
 103800    4.42e-01  4.08e-01    2.11e-03  1.79e-03    5.12e-02  4.73e-02    7.3e-05
 103900    4.40e-01  4.48e-01    2.21e-03  2.60e-03    5.10e-02  5.19e-02    7.3e-05
 104000    4.43e-01  4.12e-01    3.07e-03  3.78e-03    5.26e-02  4.87e-02    6.9e-05
 104100    4.28e-01  3.92e-01    1.97e-03  1.48e-03    5.09e-02  4.67e-02    6.9e-05
 104200    4.34e-01  4.01e-01    2.57e-03  2.72e-03    5.16e-02  4.76e-02    6.9e-05
 104300    4.32e-01  4.32e-01    2.54e-03  2.72e-03    5.13e-02  5.13e-02    6.9e-05
 104400    4.49e-01  4.05e-01    7.21e-04  1.26e-04    5.35e-02  4.83e-02    6.9e-05
 104500    4.26e-01  4.51e-01    3.35e-04  1.64e-05    5.07e-02  5.37e-02    6.9e-05
 104600    4.35e-01  4.17e-01    4.06e-03  3.60e-03    5.14e-02  4.94e-02    6.9e-05
 104700    4.35e-01  4.41e-01    4.78e-03  5.01e-03    5.12e-02  5.20e-02    6.9e-05
 104800    4.31e-01  4.34e-01    2.90e-03  3.53e-03    5.12e-02  5.15e-02    6.9e-05
 104900    4.31e-01  4.06e-01    3.57e-03  3.43e-03    5.10e-02  4.81e-02    6.9e-05
 105000    4.26e-01  3.95e-01    1.05e-03  5.47e-04    5.07e-02  4.71e-02    6.9e-05
 105100    4.32e-01  4.20e-01    5.35e-03  4.58e-03    5.07e-02  4.95e-02    6.9e-05
 105200    4.45e-01  4.19e-01    3.22e-04  2.24e-04    5.30e-02  4.99e-02    6.9e-05
 105300    4.27e-01  4.03e-01    1.03e-03  2.34e-04    5.08e-02  4.81e-02    6.9e-05
 105400    4.57e-01  4.60e-01    4.29e-03  4.56e-03    5.40e-02  5.44e-02    6.9e-05
 105500    4.35e-01  3.94e-01    6.94e-04  7.37e-04    5.18e-02  4.69e-02    6.9e-05
 105600    4.47e-01  4.56e-01    5.51e-03  5.38e-03    5.25e-02  5.37e-02    6.9e-05
 105700    4.26e-01  4.25e-01    4.76e-04  1.92e-06    5.08e-02  5.06e-02    6.9e-05
 105800    4.38e-01  4.28e-01    6.30e-04  1.42e-04    5.22e-02  5.10e-02    6.9e-05
 105900    4.41e-01  4.29e-01    2.01e-03  2.03e-03    5.25e-02  5.11e-02    6.9e-05
 106000    4.32e-01  4.12e-01    7.75e-04  6.13e-04    5.27e-02  5.03e-02    6.6e-05
 106100    4.17e-01  4.21e-01    1.94e-03  2.70e-03    5.09e-02  5.12e-02    6.6e-05
 106200    4.20e-01  4.26e-01    4.81e-04  7.94e-04    5.14e-02  5.21e-02    6.6e-05
 106300    4.21e-01  3.92e-01    3.31e-03  2.61e-03    5.12e-02  4.77e-02    6.6e-05
 106400    4.27e-01  3.72e-01    4.59e-03  3.87e-03    5.17e-02  4.51e-02    6.6e-05
 106500    4.15e-01  3.82e-01    1.60e-03  1.19e-03    5.07e-02  4.66e-02    6.6e-05
 106600    4.15e-01  3.92e-01    2.22e-03  1.65e-03    5.06e-02  4.78e-02    6.6e-05
 106700    4.21e-01  3.91e-01    2.51e-03  2.49e-03    5.13e-02  4.77e-02    6.6e-05
 106800    4.16e-01  3.97e-01    2.91e-03  2.56e-03    5.06e-02  4.84e-02    6.6e-05
 106900    4.16e-01  4.11e-01    1.89e-03  1.46e-03    5.07e-02  5.02e-02    6.6e-05
 107000    4.20e-01  4.00e-01    2.64e-03  2.59e-03    5.11e-02  4.87e-02    6.6e-05
 107100    4.26e-01  4.19e-01    1.96e-03  1.47e-03    5.19e-02  5.11e-02    6.6e-05
 107200    4.16e-01  4.12e-01    7.19e-04  7.75e-04    5.09e-02  5.03e-02    6.6e-05
 107300    4.20e-01  3.68e-01    2.30e-03  1.63e-03    5.12e-02  4.49e-02    6.6e-05
 107400    4.31e-01  4.57e-01    3.42e-03  3.53e-03    5.24e-02  5.56e-02    6.6e-05
 107500    4.18e-01  4.41e-01    2.12e-03  2.43e-03    5.10e-02  5.37e-02    6.6e-05
 107600    4.17e-01  4.33e-01    3.83e-03  4.05e-03    5.06e-02  5.25e-02    6.6e-05
 107700    4.13e-01  3.76e-01    1.12e-03  1.19e-03    5.04e-02  4.59e-02    6.6e-05
 107800    4.38e-01  4.55e-01    3.11e-03  2.98e-03    5.34e-02  5.54e-02    6.6e-05
 107900    4.15e-01  4.20e-01    1.31e-03  1.32e-03    5.07e-02  5.12e-02    6.6e-05
 108000    4.09e-01  3.73e-01    4.42e-03  3.74e-03    5.07e-02  4.63e-02    6.3e-05
 108100    4.09e-01  4.17e-01    1.23e-03  8.61e-04    5.12e-02  5.23e-02    6.3e-05
 108200    4.12e-01  3.86e-01    4.75e-03  4.14e-03    5.10e-02  4.79e-02    6.3e-05
 108300    4.11e-01  3.70e-01    5.27e-04  8.70e-04    5.15e-02  4.63e-02    6.3e-05
 108400    4.07e-01  3.81e-01    2.21e-03  9.83e-04    5.09e-02  4.78e-02    6.3e-05
 108500    4.07e-01  4.06e-01    4.02e-03  3.52e-03    5.06e-02  5.06e-02    6.3e-05
 108600    4.08e-01  3.84e-01    1.93e-03  1.70e-03    5.10e-02  4.80e-02    6.3e-05
 108700    4.06e-01  4.22e-01    3.35e-03  3.05e-03    5.06e-02  5.26e-02    6.3e-05
 108800    4.02e-01  3.51e-01    3.67e-04  4.35e-04    5.04e-02  4.40e-02    6.3e-05
 108900    4.14e-01  3.88e-01    2.80e-03  3.36e-03    5.17e-02  4.83e-02    6.3e-05
 109000    4.10e-01  4.33e-01    4.85e-04  4.67e-04    5.14e-02  5.42e-02    6.3e-05
 109100    4.17e-01  4.16e-01    3.01e-03  2.60e-03    5.20e-02  5.20e-02    6.3e-05
 109200    4.08e-01  4.10e-01    1.82e-03  2.22e-03    5.11e-02  5.12e-02    6.3e-05
 109300    4.29e-01  4.14e-01    4.42e-03  4.44e-03    5.33e-02  5.14e-02    6.3e-05
 109400    4.06e-01  3.98e-01    2.10e-03  1.03e-03    5.08e-02  4.98e-02    6.3e-05
 109500    4.16e-01  4.07e-01    2.75e-03  2.59e-03    5.19e-02  5.08e-02    6.3e-05
 109600    4.26e-01  4.12e-01    1.98e-03  2.02e-03    5.33e-02  5.15e-02    6.3e-05
 109700    4.07e-01  3.88e-01    3.66e-03  2.80e-03    5.06e-02  4.84e-02    6.3e-05
 109800    4.14e-01  4.13e-01    4.28e-03  4.20e-03    5.14e-02  5.13e-02    6.3e-05
 109900    4.15e-01  4.33e-01    3.90e-04  9.56e-05    5.20e-02  5.43e-02    6.3e-05
 110000    4.03e-01  4.20e-01    2.75e-03  3.20e-03    5.16e-02  5.37e-02    6.0e-05
 110100    4.10e-01  4.02e-01    7.87e-03  8.21e-03    5.09e-02  4.97e-02    6.0e-05
 110200    4.02e-01  3.93e-01    6.11e-03  5.43e-03    5.06e-02  4.97e-02    6.0e-05
 110300    4.02e-01  3.96e-01    6.36e-03  6.23e-03    5.05e-02  4.98e-02    6.0e-05
 110400    3.94e-01  3.62e-01    1.22e-03  8.53e-04    5.06e-02  4.66e-02    6.0e-05
 110500    3.95e-01  3.84e-01    3.53e-03  3.16e-03    5.04e-02  4.90e-02    6.0e-05
 110600    4.15e-01  3.86e-01    5.50e-03  4.84e-03    5.25e-02  4.89e-02    6.0e-05
 110700    4.01e-01  4.08e-01    5.48e-03  5.77e-03    5.06e-02  5.14e-02    6.0e-05
 110800    3.93e-01  3.61e-01    7.04e-04  1.45e-04    5.05e-02  4.63e-02    6.0e-05
 110900    4.04e-01  4.05e-01    3.90e-03  3.58e-03    5.15e-02  5.17e-02    6.0e-05
 111000    3.94e-01  4.05e-01    1.61e-03  1.24e-03    5.06e-02  5.20e-02    6.0e-05
 111100    3.99e-01  4.13e-01    3.67e-03  3.28e-03    5.09e-02  5.28e-02    6.0e-05
 111200    4.01e-01  3.88e-01    1.94e-03  2.97e-03    5.15e-02  4.96e-02    6.0e-05
 111300    4.00e-01  3.82e-01    1.58e-03  9.86e-04    5.14e-02  4.91e-02    6.0e-05
 111400    4.03e-01  3.84e-01    4.16e-03  4.29e-03    5.13e-02  4.87e-02    6.0e-05
 111500    4.05e-01  4.02e-01    3.07e-03  2.51e-03    5.18e-02  5.15e-02    6.0e-05
 111600    4.00e-01  3.81e-01    3.61e-03  3.55e-03    5.10e-02  4.85e-02    6.0e-05
 111700    3.92e-01  4.31e-01    1.27e-03  1.16e-03    5.03e-02  5.53e-02    6.0e-05
 111800    3.94e-01  3.73e-01    5.70e-04  2.52e-04    5.07e-02  4.79e-02    6.0e-05
 111900    3.92e-01  3.59e-01    1.71e-03  1.90e-03    5.03e-02  4.61e-02    6.0e-05
 112000    3.82e-01  3.76e-01    7.63e-04  1.71e-04    5.04e-02  4.96e-02    5.7e-05
 112100    3.81e-01  3.84e-01    4.67e-04  7.76e-04    5.03e-02  5.06e-02    5.7e-05
 112200    3.86e-01  3.78e-01    2.76e-03  2.58e-03    5.06e-02  4.96e-02    5.7e-05
 112300    3.98e-01  3.99e-01    6.73e-04  3.98e-05    5.24e-02  5.26e-02    5.7e-05
 112400    3.85e-01  3.64e-01    2.71e-03  3.16e-03    5.06e-02  4.77e-02    5.7e-05
 112500    3.85e-01  3.57e-01    1.19e-03  1.35e-03    5.07e-02  4.70e-02    5.7e-05
 112600    3.85e-01  3.37e-01    3.74e-04  4.79e-04    5.07e-02  4.44e-02    5.7e-05
 112700    3.82e-01  3.57e-01    2.30e-03  2.57e-03    5.02e-02  4.69e-02    5.7e-05
 112800    3.87e-01  3.57e-01    1.29e-03  8.47e-04    5.10e-02  4.71e-02    5.7e-05
 112900    3.87e-01  4.16e-01    3.81e-03  3.13e-03    5.05e-02  5.46e-02    5.7e-05
 113000    3.81e-01  3.93e-01    2.07e-03  1.94e-03    5.01e-02  5.16e-02    5.7e-05
 113100    3.83e-01  3.81e-01    2.33e-03  1.09e-03    5.04e-02  5.01e-02    5.7e-05
 113200    3.88e-01  3.75e-01    3.42e-03  2.74e-03    5.08e-02  4.92e-02    5.7e-05
 113300    3.89e-01  3.90e-01    2.60e-03  2.20e-03    5.11e-02  5.12e-02    5.7e-05
 113400    3.92e-01  3.86e-01    3.29e-03  2.55e-03    5.13e-02  5.08e-02    5.7e-05
 113500    3.81e-01  3.76e-01    8.44e-04  7.72e-04    5.02e-02  4.96e-02    5.7e-05
 113600    3.84e-01  3.99e-01    2.54e-03  2.25e-03    5.05e-02  5.25e-02    5.7e-05
 113700    3.91e-01  3.56e-01    1.80e-03  1.84e-03    5.15e-02  4.68e-02    5.7e-05
 113800    3.98e-01  3.95e-01    4.89e-03  5.11e-03    5.18e-02  5.13e-02    5.7e-05
 113900    3.89e-01  3.93e-01    2.50e-03  3.01e-03    5.11e-02  5.16e-02    5.7e-05
 114000    3.82e-01  3.89e-01    5.08e-03  5.04e-03    5.09e-02  5.18e-02    5.4e-05
 114100    3.76e-01  3.78e-01    2.25e-03  2.03e-03    5.07e-02  5.10e-02    5.4e-05
 114200    3.85e-01  3.89e-01    2.65e-03  2.34e-03    5.18e-02  5.24e-02    5.4e-05
 114300    3.80e-01  3.59e-01    2.41e-03  3.22e-03    5.12e-02  4.81e-02    5.4e-05
 114400    3.72e-01  3.53e-01    2.27e-03  3.08e-03    5.02e-02  4.74e-02    5.4e-05
 114500    3.75e-01  3.31e-01    2.81e-03  2.57e-03    5.04e-02  4.46e-02    5.4e-05
 114600    3.74e-01  3.80e-01    6.01e-04  6.01e-04    5.05e-02  5.14e-02    5.4e-05
 114700    3.75e-01  3.65e-01    1.71e-03  2.11e-03    5.06e-02  4.93e-02    5.4e-05
 114800    3.74e-01  3.71e-01    1.72e-03  1.96e-03    5.05e-02  5.00e-02    5.4e-05
 114900    3.73e-01  3.36e-01    2.46e-03  2.72e-03    5.02e-02  4.52e-02    5.4e-05
 115000    3.75e-01  3.47e-01    3.71e-04  5.53e-04    5.07e-02  4.70e-02    5.4e-05
 115100    3.78e-01  3.60e-01    5.38e-03  5.02e-03    5.01e-02  4.78e-02    5.4e-05
 115200    3.90e-01  4.05e-01    4.58e-03  4.30e-03    5.20e-02  5.42e-02    5.4e-05
 115300    3.76e-01  3.74e-01    3.82e-04  5.90e-05    5.08e-02  5.05e-02    5.4e-05
 115400    3.77e-01  3.80e-01    8.51e-04  5.32e-04    5.10e-02  5.13e-02    5.4e-05
 115500    3.74e-01  3.63e-01    3.75e-04  9.87e-04    5.05e-02  4.90e-02    5.4e-05
 115600    3.77e-01  3.84e-01    5.46e-04  3.44e-04    5.09e-02  5.19e-02    5.4e-05
 115700    3.78e-01  3.87e-01    4.74e-03  4.89e-03    5.04e-02  5.16e-02    5.4e-05
 115800    3.72e-01  3.72e-01    2.36e-03  2.12e-03    5.01e-02  5.02e-02    5.4e-05
 115900    3.77e-01  3.83e-01    4.50e-03  4.61e-03    5.04e-02  5.11e-02    5.4e-05
 116000    3.62e-01  3.54e-01    4.00e-04  8.71e-04    5.02e-02  4.91e-02    5.1e-05
 116100    3.69e-01  3.55e-01    1.10e-03  7.67e-04    5.11e-02  4.91e-02    5.1e-05
 116200    3.66e-01  3.58e-01    1.10e-03  2.28e-04    5.07e-02  4.96e-02    5.1e-05
 116300    3.68e-01  3.30e-01    2.24e-03  2.74e-03    5.09e-02  4.55e-02    5.1e-05
 116400    3.65e-01  3.62e-01    5.12e-04  1.38e-03    5.07e-02  5.01e-02    5.1e-05
 116500    3.68e-01  3.73e-01    3.71e-04  4.41e-04    5.10e-02  5.17e-02    5.1e-05
 116600    3.65e-01  3.51e-01    3.47e-03  2.79e-03    5.02e-02  4.84e-02    5.1e-05
 116700    3.62e-01  3.51e-01    1.76e-03  1.42e-03    5.01e-02  4.86e-02    5.1e-05
 116800    3.79e-01  3.61e-01    4.42e-04  4.37e-04    5.25e-02  5.01e-02    5.1e-05
 116900    3.64e-01  3.50e-01    1.31e-03  2.05e-03    5.04e-02  4.84e-02    5.1e-05
 117000    3.66e-01  3.47e-01    3.15e-03  3.05e-03    5.04e-02  4.77e-02    5.1e-05
 117100    3.79e-01  3.74e-01    1.64e-03  1.93e-03    5.24e-02  5.17e-02    5.1e-05
 117200    3.61e-01  3.79e-01    1.50e-03  9.51e-04    4.99e-02  5.25e-02    5.1e-05
 117300    3.62e-01  3.77e-01    1.26e-03  1.09e-03    5.02e-02  5.23e-02    5.1e-05
 117400    3.65e-01  3.70e-01    1.60e-03  2.08e-03    5.05e-02  5.11e-02    5.1e-05
 117500    3.59e-01  3.71e-01    1.16e-03  8.69e-04    4.98e-02  5.14e-02    5.1e-05
 117600    3.72e-01  3.47e-01    4.46e-04  1.31e-04    5.16e-02  4.81e-02    5.1e-05
 117700    3.65e-01  3.80e-01    2.22e-03  2.45e-03    5.05e-02  5.25e-02    5.1e-05
 117800    3.60e-01  3.43e-01    5.57e-04  1.48e-04    4.99e-02  4.75e-02    5.1e-05
 117900    3.60e-01  3.69e-01    5.51e-04  4.17e-04    4.99e-02  5.12e-02    5.1e-05
 118000    3.68e-01  3.52e-01    3.64e-03  3.82e-03    5.19e-02  4.96e-02    4.9e-05
 118100    3.55e-01  3.33e-01    1.09e-03  9.71e-04    5.04e-02  4.74e-02    4.9e-05
 118200    3.54e-01  3.35e-01    2.85e-03  3.28e-03    5.00e-02  4.73e-02    4.9e-05
 118300    3.65e-01  3.52e-01    3.68e-03  3.61e-03    5.15e-02  4.95e-02    4.9e-05
 118400    3.59e-01  3.38e-01    5.22e-03  4.41e-03    5.01e-02  4.73e-02    4.9e-05
 118500    3.55e-01  3.55e-01    5.20e-04  7.35e-04    5.04e-02  5.05e-02    4.9e-05
 118600    3.57e-01  3.53e-01    1.39e-03  9.41e-04    5.06e-02  5.02e-02    4.9e-05
 118700    3.52e-01  3.67e-01    1.61e-03  9.06e-04    4.99e-02  5.21e-02    4.9e-05
 118800    3.50e-01  3.20e-01    1.74e-03  2.07e-03    4.97e-02  4.54e-02    4.9e-05
 118900    3.71e-01  3.47e-01    1.44e-03  7.67e-04    5.27e-02  4.93e-02    4.9e-05
 119000    3.52e-01  3.40e-01    3.75e-04  7.92e-04    5.00e-02  4.83e-02    4.9e-05
 119100    3.49e-01  3.45e-01    1.16e-03  1.72e-03    4.96e-02  4.90e-02    4.9e-05
 119200    3.56e-01  3.65e-01    2.36e-03  2.63e-03    5.04e-02  5.16e-02    4.9e-05
 119300    3.53e-01  3.68e-01    2.94e-03  2.46e-03    4.99e-02  5.21e-02    4.9e-05
 119400    3.55e-01  3.69e-01    1.65e-03  1.23e-03    5.04e-02  5.24e-02    4.9e-05
 119500    3.54e-01  3.33e-01    2.12e-03  1.47e-03    5.01e-02  4.73e-02    4.9e-05
 119600    3.53e-01  3.48e-01    4.25e-04  7.33e-05    5.02e-02  4.95e-02    4.9e-05
 119700    3.51e-01  3.72e-01    1.05e-03  6.79e-04    4.98e-02  5.29e-02    4.9e-05
 119800    3.51e-01  3.38e-01    6.44e-04  1.14e-04    4.99e-02  4.80e-02    4.9e-05
 119900    3.57e-01  3.35e-01    3.27e-03  3.40e-03    5.04e-02  4.71e-02    4.9e-05
 120000    3.48e-01  3.39e-01    3.53e-03  4.07e-03    5.02e-02  4.88e-02    4.6e-05
 120100    3.61e-01  3.50e-01    8.73e-04  1.11e-03    5.25e-02  5.10e-02    4.6e-05
 120200    3.52e-01  3.43e-01    6.42e-04  2.58e-04    5.13e-02  5.00e-02    4.6e-05
 120300    3.48e-01  3.56e-01    2.86e-03  2.49e-03    5.04e-02  5.17e-02    4.6e-05
 120400    3.43e-01  3.11e-01    2.39e-03  2.11e-03    4.98e-02  4.52e-02    4.6e-05
 120500    3.47e-01  3.21e-01    4.25e-03  3.74e-03    4.99e-02  4.62e-02    4.6e-05
 120600    3.49e-01  3.19e-01    3.47e-03  3.30e-03    5.04e-02  4.61e-02    4.6e-05
 120700    3.44e-01  3.45e-01    1.01e-03  1.43e-04    5.01e-02  5.03e-02    4.6e-05
 120800    3.50e-01  3.61e-01    2.49e-03  2.52e-03    5.08e-02  5.24e-02    4.6e-05
 120900    3.51e-01  3.28e-01    1.68e-03  1.61e-03    5.10e-02  4.76e-02    4.6e-05
 121000    3.45e-01  3.54e-01    1.61e-03  1.59e-03    5.02e-02  5.16e-02    4.6e-05
