  -57.643299100000000        18.426519056443421     	  -57.643299100000000        15.437585560040144     	  -57.643299100000000        1.8448018365372574     
  -57.543300600000002        17.748303635896804     	  -57.543300600000002        14.855633211362761     	  -57.543300600000002        1.7830477674323968     
  -57.443302199999998        9.9545696378096622     	  -57.443302199999998        8.3222117439970447     	  -57.443302199999998        1.0145098288117267     
  -57.343296100000003        3.3727056607503427     	  -57.343296100000003        2.8171408977475050     	  -57.343296100000003       0.35057741146444699     
  -57.243297599999998       0.58340711886996222     	  -57.243297599999998       0.48709579637735512     	  -57.243297599999998        6.1469352954144969E-002
  -57.143299100000000        4.3332402600919966E-002	  -57.143299100000000        3.6172666889034380E-002	  -57.143299100000000        4.5950459730570012E-003
  -57.043300600000002        1.2601587765966116E-003	  -57.043300600000002        1.0518766973330433E-003	  -57.043300600000002        1.3397788879835172E-004
  -56.943302199999998        1.3804823594889052E-005	  -56.943302199999998        1.1522851964392198E-005	  -56.943302199999998        1.4691629184713408E-006
  -56.843296100000003        5.6126949825836660E-008	  -56.843296100000003        4.6848610152874299E-008	  -56.843296100000003        5.9754594540640142E-009
  -56.743297599999998        8.4223327216940933E-011	  -56.743297599999998        7.0300149071423835E-011	  -56.743297599999998        8.9679192510446564E-012
  -56.643299100000000        4.6550053238896110E-014	  -56.643299100000000        3.8854695703321644E-014	  -56.643299100000000        4.9567998225669846E-015
  -56.543300600000002        9.4690275702208979E-018	  -56.543300600000002        7.9036649071336140E-018	  -56.543300600000002        1.0083113196529826E-018
  -56.443302199999998        7.0870697447012948E-022	  -56.443302199999998        5.9154770551453567E-022	  -56.443302199999998        7.5467321365707399E-023
  -56.343303700000000        1.9514594346871851E-026	  -56.343303700000000        1.6288555404610717E-026	  -56.343303700000000        2.0780349532536644E-027
  -56.243301400000000        1.9768213557677383E-031	  -56.243301400000000        1.6500247403245166E-031	  -56.243301400000000        2.1050438452178790E-032
  -56.143302900000002        7.3668928677886208E-037	  -56.143302900000002        6.1490409122110993E-037	  -56.143302900000002        7.8447340321679257E-038
  -56.043304399999997        1.0099691210492871E-042	  -56.043304399999997        8.4300688748408177E-043	  -56.043304399999997        1.0754792107130653E-043
  -55.943302199999998        5.0937524068058216E-049	  -55.943302199999998        4.2516828167075315E-049	  -55.943302199999998        5.4241510518241725E-050
  -55.843303700000000        9.4509020020295776E-056	  -55.843303700000000        7.8885337211383865E-056	  -55.843303700000000        1.0063920820872651E-056
  -55.743301400000000        6.4508103047924338E-063	  -55.743301400000000        5.3843997747037665E-063	  -55.743301400000000        6.8692326434509620E-064
  -55.643302900000002        1.6197978714992182E-070	  -55.643302900000002        1.3520222858531011E-070	  -55.643302900000002        1.7248636860291092E-071
  -55.543304399999997        1.4962801125800107E-078	  -55.543304399999997        1.2489237661325916E-078	  -55.543304399999997        1.5933341300815037E-079
  -55.443302199999998        5.0847605336858133E-087	  -55.443302199999998        4.2441774251856756E-087	  -55.443302199999998        5.4145760783765200E-088
  -55.343303700000000        6.3567279460307286E-096	  -55.343303700000000        5.3058705651494652E-096	  -55.343303700000000        6.7690477947255248E-097
  -55.243301400000000        2.9234943833823998E-105	  -55.243301400000000        2.4401992546871185E-105	  -55.243301400000000        3.1131225651893304E-106
  -55.143302900000002        4.9462540729636967E-115	  -55.143302900000002        4.1285680488875211E-115	  -55.143302900000002        5.2670855998448477E-116
  -55.043304399999997        3.0786200689350201E-125	  -55.043304399999997        2.5696804619766629E-125	  -55.043304399999997        3.2783102512275941E-126
  -54.943302199999998        7.0492236481401700E-136	  -54.943302199999998        5.8838868957919090E-136	  -54.943302199999998        7.5064612168712423E-137
  -54.843303700000000        5.9378879896619632E-147	  -54.843303700000000        4.9562708001567470E-147	  -54.843303700000000        6.3230403984014796E-148
  -54.743301400000000        1.8400440945878869E-158	  -54.743301400000000        1.5358586812153591E-158	  -54.743301400000000        1.9593958601406560E-159
  -54.643302900000002        2.0976352770695451E-170	  -54.643302900000002        1.7508663840104293E-170	  -54.643302900000002        2.2336953174461984E-171
  -54.543304399999997        8.7970537178333665E-183	  -54.543304399999997        7.3427758396617303E-183	  -54.543304399999997        9.3676617244439752E-184
  -54.443302199999998        1.3572193030951519E-195	  -54.443302199999998        1.1328516827954627E-195	  -54.443302199999998        1.4452533456181390E-196
  -54.343303700000000        7.7031495560206770E-209	  -54.343303700000000        6.4297095668048744E-209	  -54.343303700000000        8.2028030711373614E-210
  -54.243301400000000        1.6083929091580365E-222	  -54.243301400000000        1.3425027256691098E-222	  -54.243301400000000        1.7127189598085106E-223
  -54.143302900000002        1.2354395149470419E-236	  -54.143302900000002        1.0312038226306050E-236	  -54.143302900000002        1.3155744898515472E-237
