# data_e pred_e
-1.444996106692753092e+05 -1.444991147658461996e+05
-1.444998069416292128e+05 -1.444991783368865144e+05
-1.444990082428863097e+05 -1.444981471337694675e+05
-1.445006532637333148e+05 -1.445002044226621801e+05
-1.444978362964702246e+05 -1.444974072682495462e+05
-1.445002171396623598e+05 -1.444999586070251244e+05
-1.445002147885307495e+05 -1.444997481560606102e+05
-1.445000270840892626e+05 -1.444993667486581835e+05
-1.444983998549049138e+05 -1.444978537625974277e+05
-1.444985489101444546e+05 -1.444981465600885567e+05
-1.444998223174461164e+05 -1.444992984662328672e+05
-1.445010890843973611e+05 -1.445007437404379889e+05
-1.444974050919344591e+05 -1.444968853206483473e+05
-1.445002272355374589e+05 -1.444996167502522003e+05
-1.445003992770411132e+05 -1.445000011917688535e+05
-1.445002141701438813e+05 -1.444996419857606525e+05
-1.444985167657448328e+05 -1.444978450611096923e+05
-1.444995030557107821e+05 -1.444987697160466341e+05
-1.445011070700444980e+05 -1.445006587875112600e+05
-1.444980913145772647e+05 -1.444976387214805582e+05
-1.444967226515188813e+05 -1.444956792215647292e+05
-1.445002069087806740e+05 -1.444999943915354670e+05
-1.444972392316463229e+05 -1.444968244074437243e+05
-1.445009999763752567e+05 -1.445004000486046425e+05
-1.444992697971514426e+05 -1.444988718202512828e+05
-1.444969969833519135e+05 -1.444962871184363321e+05
-1.444995069047637808e+05 -1.444986130000802223e+05
-1.444984044251547894e+05 -1.444980191110940359e+05
-1.444963486901372962e+05 -1.444951316471163300e+05
-1.445001586285420344e+05 -1.444997117336493975e+05
-1.444983103060883295e+05 -1.444979577995058207e+05
-1.444989103798899159e+05 -1.444982348155681393e+05
-1.445009211409226700e+05 -1.445003240128575126e+05
-1.444993967195058067e+05 -1.444991344792468008e+05
-1.444970228709427465e+05 -1.444964042095431359e+05
-1.444983637293846405e+05 -1.444978193069598638e+05
-1.445008639374372433e+05 -1.445003563159579353e+05
-1.444978470691006223e+05 -1.444974186066788679e+05
-1.444996868537023547e+05 -1.444991462995761540e+05
-1.444989232130697055e+05 -1.444988166874366289e+05
-1.444992948447078525e+05 -1.444987452984346310e+05
-1.445006484062400705e+05 -1.445001698295247625e+05
-1.445000712698010029e+05 -1.444997189286134380e+05
-1.444998328385236091e+05 -1.444992837338063400e+05
-1.444968734356717614e+05 -1.444959703831056249e+05
-1.444981390306586109e+05 -1.444973616241091222e+05
-1.444988552058812056e+05 -1.444981918525990332e+05
-1.444973958233316662e+05 -1.444967574174680049e+05
-1.445002814026596898e+05 -1.444996040105510328e+05
-1.444991929248369706e+05 -1.444985950188105635e+05
-1.444975794057083840e+05 -1.444971548786385683e+05
-1.445002807298663538e+05 -1.444998844052882923e+05
-1.444978498417501687e+05 -1.444968490755989915e+05
-1.445008866487766209e+05 -1.445005360637939593e+05
-1.444991955152790761e+05 -1.444987061186388892e+05
-1.444984484863608668e+05 -1.444975727056925243e+05
-1.444987250742516480e+05 -1.444983466674099909e+05
-1.444992345342130284e+05 -1.444986687490475597e+05
-1.444974154900817957e+05 -1.444966508267832978e+05
-1.444982482637222565e+05 -1.444976072200410417e+05
-1.444972379861105292e+05 -1.444969017028087110e+05
-1.445004939794053498e+05 -1.444998920110175677e+05
-1.444986652392267424e+05 -1.444981789848204935e+05
-1.444977701114675438e+05 -1.444972728925050760e+05
-1.444981661778317648e+05 -1.444977283302637225e+05
-1.444987796911154292e+05 -1.444988096295883006e+05
-1.444994859659168287e+05 -1.444987076951937634e+05
-1.444994530885214626e+05 -1.444991778426493402e+05
-1.445005142810052203e+05 -1.445001640927784611e+05
-1.444984429834190523e+05 -1.444976494749711710e+05
-1.444987817144450673e+05 -1.444986316932367336e+05
-1.444996275521457719e+05 -1.444992654005399963e+05
-1.445008581567188958e+05 -1.445004478729801485e+05
-1.444981719779273553e+05 -1.444975306766447320e+05
-1.444999202621284057e+05 -1.444993593111751543e+05
-1.444993657795011241e+05 -1.444986669653096760e+05
-1.445001553637038742e+05 -1.444996540385772532e+05
-1.444984144670180394e+05 -1.444978548765252635e+05
-1.444998754568052536e+05 -1.444995149558486301e+05
-1.444993629424449464e+05 -1.444989307910920179e+05
-1.444979545831585419e+05 -1.444971559137142904e+05
-1.444988308660738694e+05 -1.444984334268666862e+05
-1.444989082551896863e+05 -1.444982597304579685e+05
-1.444978302489877969e+05 -1.444971003036750481e+05
-1.444999751013499917e+05 -1.444997070585562906e+05
-1.445004856425285107e+05 -1.444998816961130069e+05
-1.444994748418813397e+05 -1.444987685892858135e+05
-1.445003913994815375e+05 -1.444996634833246644e+05
-1.444992340418366366e+05 -1.444986255534288066e+05
-1.444983810925849830e+05 -1.444977765002273663e+05
-1.444973239349481009e+05 -1.444968426402789773e+05
-1.444991365554566437e+05 -1.444985807259589492e+05
-1.444983309545000084e+05 -1.444976603745712491e+05
-1.444981721289532725e+05 -1.444982014787410735e+05
-1.444997244806107192e+05 -1.444992165611516102e+05
-1.444977029697724793e+05 -1.444972245527173218e+05
-1.444981674480428337e+05 -1.444975385658899031e+05
-1.444990831064727972e+05 -1.444986460836383339e+05
-1.445006180044874491e+05 -1.445000589370957750e+05
-1.444999214317308215e+05 -1.444991480903559132e+05
-1.444971995046449592e+05 -1.444968102449465368e+05
-1.445001237936195976e+05 -1.444999401111521292e+05
-1.444991418621581397e+05 -1.444984557088963920e+05
-1.444989135282034986e+05 -1.444984477665857703e+05
-1.445007287468985014e+05 -1.445004895426878938e+05
-1.444996570450327126e+05 -1.444994656935863604e+05
-1.444983512830364634e+05 -1.444975324183650664e+05
-1.444994567684584181e+05 -1.444983768297131464e+05
-1.444991979697023635e+05 -1.444984555703357328e+05
-1.445000826542902796e+05 -1.444998563549373066e+05
-1.444991475981137773e+05 -1.444984284021637577e+05
-1.444992729907801549e+05 -1.444987702205645037e+05
-1.444983241626311210e+05 -1.444977682757375878e+05
-1.444985038928173890e+05 -1.444979800444066932e+05
-1.444983177557080635e+05 -1.444978814923409373e+05
-1.444993345456515672e+05 -1.444990810108388832e+05
-1.445016318022780470e+05 -1.445012060587719025e+05
-1.444988379690750153e+05 -1.444983285379304434e+05
-1.444981368674325058e+05 -1.444973435418414883e+05
-1.444971231082766317e+05 -1.444962425287703518e+05
-1.444975756646465161e+05 -1.444969585391368601e+05
-1.444979462376774463e+05 -1.444971420888534922e+05
-1.444984244289124617e+05 -1.444979160510176443e+05
-1.444985738225391542e+05 -1.444979675864820310e+05
-1.444990846382560267e+05 -1.444984981059507118e+05
-1.444983495179074525e+05 -1.444979499550309847e+05
-1.444981426967993903e+05 -1.444976696098462853e+05
-1.444980367135478009e+05 -1.444976680693339440e+05
-1.444982413311623386e+05 -1.444975711989867850e+05
-1.444990511699736526e+05 -1.444987299340319005e+05
-1.445008938095447957e+05 -1.445004750301699678e+05
-1.444988745322250761e+05 -1.444983828314714192e+05
-1.444989290962933446e+05 -1.444982854893830663e+05
-1.444994711429263407e+05 -1.444987521099763399e+05
-1.444993587848557218e+05 -1.444990187635784969e+05
-1.444996785431443714e+05 -1.444992226620361325e+05
-1.445000083897324803e+05 -1.444995411886963120e+05
-1.445014405249029514e+05 -1.445011233986300358e+05
-1.444995148692174407e+05 -1.444988031357642321e+05
-1.444974456804019574e+05 -1.444971045756344975e+05
-1.444990542200132913e+05 -1.444986360621132480e+05
-1.444999785359164525e+05 -1.444995297328644665e+05
-1.445001084706253896e+05 -1.444998701684809639e+05
-1.444994218037404062e+05 -1.444990282497025910e+05
-1.444994117776134808e+05 -1.444987794578645844e+05
-1.444992545112572843e+05 -1.444982851559503179e+05
-1.444967778999670409e+05 -1.444962262735691329e+05
-1.445001571986463969e+05 -1.444995097035404760e+05
-1.445009959497544041e+05 -1.445004896586415125e+05
-1.445001893496828270e+05 -1.444994613762070949e+05
-1.445022424422246404e+05 -1.445018767284915375e+05
-1.444990450095122505e+05 -1.444983946492300602e+05
-1.444985375333940901e+05 -1.444977837561854394e+05
-1.445003198200424085e+05 -1.444996646580468514e+05
-1.444994982260684192e+05 -1.444989962307677488e+05
-1.444975484625199460e+05 -1.444968369659116433e+05
-1.444988145187969203e+05 -1.444982654614723870e+05
-1.445013994667451771e+05 -1.445011490231918870e+05
-1.444971794420644292e+05 -1.444964684133326809e+05
-1.444993654154481483e+05 -1.444988066747228149e+05
-1.444999455453924893e+05 -1.444994532956540934e+05
-1.444978588736873644e+05 -1.444971498529820528e+05
-1.444985252010615950e+05 -1.444981282109994208e+05
-1.444973604137537768e+05 -1.444967135686586844e+05
-1.444982818062454462e+05 -1.444975993449215894e+05
-1.444990210658264987e+05 -1.444984480184276472e+05
-1.444994059172664711e+05 -1.444989784781660710e+05
-1.444975718948548601e+05 -1.444970420567204128e+05
-1.444980438855869288e+05 -1.444972678572125442e+05
-1.445003163758894079e+05 -1.445000720525112120e+05
-1.444974359751843731e+05 -1.444969982892768166e+05
-1.444999669580739865e+05 -1.444993225913789065e+05
-1.444998667378288519e+05 -1.444993085446441546e+05
-1.444985358919354039e+05 -1.444979801187247795e+05
-1.444998137481487065e+05 -1.444992116510169581e+05
-1.444974941931645735e+05 -1.444965194288681378e+05
-1.444995560508632043e+05 -1.444990159002292494e+05
-1.444983899154408136e+05 -1.444977596774529375e+05
-1.444991838575222355e+05 -1.444987587573060009e+05
-1.444978390275216952e+05 -1.444970431737122417e+05
-1.444997717574867420e+05 -1.444987853915287997e+05
-1.444981917772976158e+05 -1.444974781401615764e+05
-1.445003328456066956e+05 -1.444998226004538883e+05
-1.444996199539273803e+05 -1.444991596769676544e+05
-1.445009071374465711e+05 -1.445005636234465055e+05
-1.444985791021353798e+05 -1.444981576625522284e+05
-1.444978634300485719e+05 -1.444977874913634150e+05
-1.444995435628081032e+05 -1.444986067508406704e+05
-1.444985986154513957e+05 -1.444981645280868688e+05
-1.444983744462153700e+05 -1.444976442861122487e+05
-1.444981172169847414e+05 -1.444977442886509525e+05
-1.445003423069912533e+05 -1.444999292507582868e+05
-1.444993132298181299e+05 -1.444989479357471864e+05
-1.444971376013970585e+05 -1.444961457123397850e+05
-1.444987508510703919e+05 -1.444975582096781582e+05
-1.444982193170412211e+05 -1.444976632738564222e+05
-1.444979274054242705e+05 -1.444968809324323083e+05
-1.444985760999387712e+05 -1.444978217322624987e+05
-1.444981514951187128e+05 -1.444976435918325151e+05
-1.444988090377412154e+05 -1.444986447864612564e+05
-1.444985370364598057e+05 -1.444974428734250832e+05
-1.444990061458600685e+05 -1.444982600223337649e+05
-1.444997355784906540e+05 -1.444992142553766025e+05
-1.445011809804869699e+05 -1.445007437384726945e+05
-1.444991867947597930e+05 -1.444987351591191837e+05
-1.444985230568970728e+05 -1.444983103111929086e+05
-1.444994546564713528e+05 -1.444989749158055347e+05
-1.444995311137496610e+05 -1.444989631793743174e+05
-1.444983547049251210e+05 -1.444979085233179794e+05
-1.444962460427972546e+05 -1.444956631389438990e+05
-1.444980278682942735e+05 -1.444973416808263573e+05
-1.445002463711676537e+05 -1.444999460493638180e+05
-1.444999577750020253e+05 -1.444993707239426731e+05
-1.445000776793363621e+05 -1.444996154800679651e+05
-1.444986433926788159e+05 -1.444977640543284651e+05
-1.444985867829648196e+05 -1.444982398415246280e+05
-1.444975738758055086e+05 -1.444970225631937210e+05
-1.444987826864901581e+05 -1.444982263847002760e+05
-1.444984040957718680e+05 -1.444977112497830240e+05
-1.444991940625231364e+05 -1.444983701648623392e+05
-1.444988400433879287e+05 -1.444981887939240842e+05
-1.444987895040438743e+05 -1.444986026422548457e+05
-1.444993023038080428e+05 -1.444988481458280294e+05
-1.444991109842226433e+05 -1.444983728805805440e+05
-1.445014131335566053e+05 -1.445012147385860444e+05
-1.444984949048129492e+05 -1.444979215469189512e+05
-1.444976508353107201e+05 -1.444969402163791528e+05
-1.444997315894487256e+05 -1.444990230387559568e+05
-1.444983169648554758e+05 -1.444977135771896574e+05
-1.444983579790641379e+05 -1.444974141342951916e+05
-1.444983864622590772e+05 -1.444980295452712744e+05
-1.444998729049978720e+05 -1.444992649609550717e+05
-1.444974529739208519e+05 -1.444969521911227785e+05
-1.444978354074117378e+05 -1.444973056273342518e+05
-1.445004296314078092e+05 -1.444999226659176347e+05
-1.445004935377183137e+05 -1.445000841840692447e+05
-1.444995311106666049e+05 -1.444989108325954003e+05
-1.444997591476879024e+05 -1.444992599430260016e+05
-1.445003641574930516e+05 -1.444999088339883892e+05
-1.444977520083706186e+05 -1.444972734532378672e+05
-1.444998414768427319e+05 -1.444992544566097786e+05
-1.444979443516265019e+05 -1.444972566514795762e+05
-1.445000357080380491e+05 -1.444995079348751751e+05
-1.444979911107243097e+05 -1.444975500791632803e+05
-1.444982664683176554e+05 -1.444976808141468209e+05
-1.444999499740044121e+05 -1.444995917819643510e+05
-1.444984169997910503e+05 -1.444976978502219135e+05
-1.444974698720460292e+05 -1.444969107654498075e+05
-1.444990290308244003e+05 -1.444985772463793401e+05
-1.444974302531881549e+05 -1.444967536368716974e+05
-1.445003772528517875e+05 -1.444998676884705492e+05
-1.445012883666023845e+05 -1.445007802743974025e+05
-1.445004095248537196e+05 -1.444999900694577955e+05
-1.445001784713035740e+05 -1.444997480907280697e+05
-1.444981590176949103e+05 -1.444973849897270848e+05
-1.444965352201680944e+05 -1.444955909257972962e+05
-1.444993035286985687e+05 -1.444988179719215259e+05
-1.445004194619068585e+05 -1.444996509307399683e+05
-1.444980717631027510e+05 -1.444972694765171036e+05
-1.444986578819052957e+05 -1.444981342086453806e+05
-1.444994820234961517e+05 -1.444991918647238053e+05
-1.444983875320201914e+05 -1.444979945297810482e+05
-1.444990990492198616e+05 -1.444983926150461775e+05
-1.445004963930551021e+05 -1.445002575839597557e+05
-1.445009002921236388e+05 -1.445003960551991768e+05
-1.444988127263830684e+05 -1.444985434423925180e+05
-1.444994967028703832e+05 -1.444990274207887996e+05
-1.444998027162835933e+05 -1.444993119078369346e+05
-1.444970994532900222e+05 -1.444963761188257195e+05
-1.444986222546962090e+05 -1.444982491463138140e+05
-1.444986382488510571e+05 -1.444980005494798825e+05
-1.445012759688374063e+05 -1.445008244062826561e+05
-1.444996514878178132e+05 -1.444989654208596912e+05
-1.445008878838169621e+05 -1.445007775302559312e+05
-1.444993256701199571e+05 -1.444988181524047977e+05
-1.444986718866739538e+05 -1.444980873481940944e+05
-1.444978186360208783e+05 -1.444972244702618918e+05
-1.444983164744872774e+05 -1.444977257566209882e+05
-1.444989224646695657e+05 -1.444985887424936809e+05
